id;titulo;url;lugar_ejecucion;duracion;fecha_ini;fecha_fin;contrapartida_pesos;contrapartida_especie;palabras_clave;convocatoria;tipo;referencias;programa;departamento;municipio;viable;enviado;fecha_envio_propuesta;fecha_envio_proyecto;nota;conclusion;recomendaciones;viabilidad;pre_enviado;fecha_pre_envio_propuesta;fecha_viabilidad_propuesta;fecha_sustentacion_proyecto;sustentar;recomendaciones_jurado_proyecto;recomendaciones_asesor_propuesta;recomendaciones_asesor_proyecto;recomendaciones_jurado_sustentacion
1;Infrastructure Credit Card Account application;https://tiana.com;bricks-and-clicks encompassing;Architect Technician overriding;2020-10-07;2020-10-07;9919;77625;XSS index Bacon;Fantastic Frozen Bike;bus yellow;Guyana;digital Salad;protocol AGP Guinea;one-to-one;false;true;2020-10-07T10:01:42;2020-10-07T08:50:49;48214;Credit Card Account Investment Account;Small Soft Keyboard;NO_VIABLE;true;2020-10-07T19:53:56;2020-10-07T14:23:34;2020-10-07T09:29:16;true;Configurable data-warehouse;Integrated;Producer Plastic;Configuration
2;pixel;https://kieran.name;grey;Associate Infrastructure;2020-10-08;2020-10-07;5756;70015;Kuwaiti Dinar Rubber;Avon synthesizing;Keyboard Junctions Engineer;Barbados deposit;Car;generating;bus bleeding-edge;false;true;2020-10-07T15:19:51;2020-10-07T09:20:27;21779;Bypass;reboot;NO_VIABLE;false;2020-10-08T00:40:34;2020-10-08T00:51:10;2020-10-08T03:06:36;false;Gorgeous Rubber Chips Virtual;Quality;overriding Interactions Mobility;Specialist withdrawal
3;system Virgin Islands, British Global;http://hanna.biz;bluetooth Hat 3rd generation;Syrian Pound Flat world-class;2020-10-07;2020-10-07;70888;8560;back-end reboot Executive;Automotive Orchestrator;real-time;Personal Loan Account;extend Usability dedicated;application;Money Market Account;true;false;2020-10-08T02:16:20;2020-10-07T17:09:12;5119;Solutions multi-byte;ivory Customer Health;VIABLE;false;2020-10-07T19:40:47;2020-10-07T15:07:49;2020-10-07T11:53:47;false;back up;Credit Card Account;Buckinghamshire Right-sized;Hat Gloves recontextualize
4;Lead Personal Loan Account;http://patrick.net;Small Steel Keyboard Personal Loan Account;Australian Dollar Car circuit;2020-10-07;2020-10-07;83143;22660;best-of-breed;Baht Berkshire;Fantastic multi-tasking;parsing South Dakota;Boliviano Mvdol;Alaska;Kyat Lights;true;false;2020-10-07T14:08:15;2020-10-07T10:08:48;87859;Officer Planner;Orchestrator;NO_VIABLE;true;2020-10-07T23:58:02;2020-10-08T03:05:59;2020-10-07T05:23:10;true;indigo copy Marketing;Toys Chief leverage;multi-byte;Sleek Granite Towels Gold
5;Louisiana real-time Enhanced;https://kelley.org;Global relationships;turquoise;2020-10-07;2020-10-07;96742;56043;Granite matrix copy;Berkshire Investment Account Belarus;front-end Tunisian Dinar withdrawal;Cotton rich;Tasty Granite Fish synthesize Borders;best-of-breed Concrete;web services parse transmit;true;true;2020-10-07T22:47:50;2020-10-07T04:26:39;45032;Savings Account;4th generation;PENDIENTE;false;2020-10-07T21:52:39;2020-10-07T19:46:01;2020-10-07T09:12:43;true;Granite policy Jewelery;Rustic Concrete Ball Mountains;parsing;Administrator
6;indexing Buckinghamshire Macao;http://owen.org;withdrawal;Money Market Account;2020-10-08;2020-10-07;49456;99735;Interactions digital Mississippi;encompassing Credit Card Account;strategy initiatives;Coordinator Washington copy;functionalities action-items;Buckinghamshire;Mobility Awesome;false;true;2020-10-07T15:02:08;2020-10-07T11:39:09;21562;Shoes;Accountability utilisation Principal;NO_VIABLE;false;2020-10-07T15:53:28;2020-10-07T17:11:51;2020-10-08T01:14:59;false;Legacy Directives;Generic Frozen Salad Handcrafted Fresh Sausages;index;architecture Fresh
7;tertiary;http://maya.name;yellow;maximize next generation;2020-10-08;2020-10-07;70351;31608;Auto Loan Account;Jewelery transition harness;niches scalable systems;Checking Account mint green European Unit of Account 17(E.U.A.-17);Practical protocol;Specialist orchestrate Object-based;policy Rufiyaa needs-based;false;true;2020-10-08T00:30:22;2020-10-07T14:00:51;51452;Boliviano Mvdol;reciprocal User-friendly;PENDIENTE;true;2020-10-07T19:43:04;2020-10-07T17:18:27;2020-10-07T10:03:39;true;process improvement;Wooden markets withdrawal;capacitor;asynchronous
8;protocol;http://roslyn.name;Bedfordshire Oklahoma Maryland;withdrawal Directives;2020-10-07;2020-10-07;14608;56042;compress support streamline;backing up HTTP mobile;empowering;optical New York;Division;hub Handcrafted Wooden Mouse orchid;Configuration;true;false;2020-10-07T14:45:04;2020-10-08T01:12:28;57737;Silver Money Market Account;Profound Realigned Pizza;VIABLE;true;2020-10-08T03:07:48;2020-10-07T19:26:53;2020-10-07T20:38:15;true;Ergonomic eyeballs;Berkshire;transmit invoice;Borders Refined
9;Investment Account;https://glenna.info;Fantastic Metal Sausages compressing disintermediate;platforms XSS;2020-10-07;2020-10-07;41333;93529;Checking Account Savings Account;Money Market Account payment Buckinghamshire;Fantastic CFP Franc;black transmitting channels;International Money Market Account;cyan Money Market Account;action-items Intelligent;true;true;2020-10-08T00:41:46;2020-10-07T16:35:49;48039;Buckinghamshire;auxiliary;NO_VIABLE;false;2020-10-08T00:05:09;2020-10-07T16:22:23;2020-10-08T01:47:26;true;Coordinator Handmade Phased;Pizza;cohesive Sausages;Dynamic Berkshire Configurable
10;Functionality;http://raven.com;wireless;Cayman Islands Salad tan;2020-10-07;2020-10-07;32663;76418;visualize;mesh paradigms Industrial;New Leu Checking Account intranet;multi-byte;Djibouti Franc Home Loan Account;Investment Account Liaison;deliverables;true;false;2020-10-07T20:18:19;2020-10-07T17:33:58;53901;strategize;Iowa program;NO_VIABLE;false;2020-10-07T23:29:01;2020-10-07T13:43:38;2020-10-07T15:02:15;false;Steel;Turkmenistan deposit Soft;optimize mint green calculating;Outdoors conglomeration relationships
