id;respuesta;observaciones;viable;puntaje;si_no;elemento;pregunta_tipo_pregunta_id;pregunta_tipo_pregunta_tipo_pregunta;encabezado;dato;respuesta_texto;respuesta_numero;fase_id;authority
1;NO_APLICA;withdrawal;false;76069;false;invoice Refined;86146;AGP Accounts JSON;Generic Granite Cheese collaboration;Metrics;Granite Martinique Open-architected;9348;64328;holistic
2;SI;Virtual;true;13865;true;transmitter Wisconsin ivory;2238;deposit Checking Account;overriding parsing Garden;Berkshire frictionless Lithuanian Litas;Rubber;736;2071;Metal Pines synergies
3;NO_APLICA;salmon Pike;true;68166;true;Handcrafted Steel;73386;Intuitive open-source systems;Regional Ergonomic Rubber Hat;SSL Clothing;capacitor Borders;63217;68276;multi-tasking compress
4;SI;Direct Planner;true;11659;false;Avon;31744;projection;Towels Phased;deposit;Cotton azure;43863;68068;Handmade Plastic Norfolk Island
5;NO;Re-engineered Books Road;true;11063;false;Ergonomic Rubber Soap;22971;drive AGP Kuwait;Fish killer;Jewelery;Australian Dollar;28842;24219;teal Bedfordshire website
6;CUMPLE;payment Toys;true;5017;false;Credit Card Account Engineer;79414;alarm invoice;Unbranded;Bulgarian Lev Analyst;Way cross-platform;47038;55391;Quetzal paradigm synergies
7;CUMPLE;Sleek Concrete tan;false;90222;true;Gloves;51792;transmit;generate withdrawal Customer;Handmade Steel Chicken Home Loan Account middleware;Web capacity magenta;51764;61513;Granite redundant
8;CUMPLE;Oregon microchip incentivize;false;38411;true;Junctions orchid;70925;Turkish Lira;Branding;Practical Congo;Grocery relationships Chicken;46132;80091;Solutions
9;NO_APLICA;Devolved back up;true;72140;false;array;82553;calculate Borders e-business;black monitor Automated;silver cutting-edge;Berkshire payment;93018;90452;Optimized Streets
10;SI;encompassing repurpose interfaces;true;28245;false;program withdrawal Road;83794;Operations e-enable;Concrete EXE Developer;archive COM Tasty Metal Shirt;Prairie responsive;21670;896;USB
