id;respuesta;observaciones;viable;puntaje;si_no;elemento;pregunta_tipo_pregunta_id;pregunta_tipo_pregunta_tipo_pregunta;encabezado;dato;respuesta_texto;respuesta_numero
1;NO_APLICA;withdrawal;false;76069;false;invoice Refined;86146;AGP Accounts JSON;Generic Granite Cheese collaboration;Metrics;Granite Martinique Open-architected;9348
2;NO;hack Virtual Marketing;true;87522;true;Wisconsin ivory Baby;65263;Checking Account;overriding parsing Garden;Berkshire frictionless Lithuanian Litas;Rubber;736
3;SI;Investment Account Movies;false;31225;false;salmon Pike;86172;Identity Handcrafted Steel;compress schemas Managed;e-business optimize;Nebraska;49319
4;NO_APLICA;payment ROI;true;77060;false;invoice multi-state Total;70562;Direct Planner;Steel Hat Incredible;projection;Towels Phased;9977
5;NO_CUMPLE;bandwidth Senior bandwidth;false;54043;true;discrete markets Investor;90447;Re-engineered Books Road;Intelligent alliance Awesome;Total drive;interactive Junctions Fish;36522
6;SI;content-based;true;22182;false;orange Specialist;28711;Practical Rubber Towels Toys Avon;e-markets;Engineer cross-platform alarm;AGP Unbranded;45880
7;SI;Oval Developer;false;30018;true;Computers navigating;1765;Sleek Concrete tan;Global;Gloves;Licensed neural;75395
8;NO;bypass;true;62583;true;Personal Loan Account;93965;capacity magenta;Home Loan Account Granite;e-services interface Licensed;monitor maroon;25860
9;NO_CUMPLE;Credit Card Account;false;69291;true;Branding;34298;Mountain;auxiliary;relationships Chicken;back-end Solutions;48441
10;CUMPLE;Licensed Metal Keyboard Metal transparent;true;74427;true;Michigan Internal;19330;monitor;Incredible Concrete Chips;COM Berkshire;capacitor National;24422
