id;titulo_profesional;titulo_postgrado;experiencia
1;JSON;virtual deposit;Squares mint green e-business
2;Ghana back-end National;Direct;Profit-focused
3;Jewelery cutting-edge;Games;Iraq Bedfordshire
4;Concrete 24/7 Directives;sky blue;Kenyan Shilling robust
5;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers;Analyst paradigms
6;encompassing;deposit Canadian Dollar Lebanon;Designer Persistent
7;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;bypassing optical
8;installation;Argentine Peso;Kentucky Algerian Dinar Clothing
9;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking
10;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented
